old_section,old_act,new_section,new_act,provision_title,notes
154,CrPC,173,BNSS,FIR registration for cognisable offence,Zero FIR now statutory under 173(1) proviso; e-FIR allowed
155,CrPC,174,BNSS,Information in non-cognisable cases,
156,CrPC,175,BNSS,Police power to investigate cognisable case,
156(3),CrPC,175(3),BNSS,Magistrate order for investigation,
157,CrPC,176,BNSS,Procedure for investigation,Mandatory forensic investigation for offences with 7+ years punishment
158,CrPC,177,BNSS,Report of investigation to Magistrate,
41,CrPC,35,BNSS,When police may arrest without warrant,
41A,CrPC,35(3),BNSS,Notice of appearance before arrest,
50,CrPC,47,BNSS,Person arrested to be informed of grounds,
57,CrPC,58,BNSS,Person arrested not to be detained beyond 24 hours,
125,CrPC,144,BNSS,Order for maintenance of wives/children/parents,
144,CrPC,163,BNSS,Power to issue order in urgent cases of nuisance/apprehended danger,
164,CrPC,183,BNSS,Recording of confessions and statements,
161,CrPC,180,BNSS,Examination of witnesses by police,
164A,CrPC,184,BNSS,Medical examination of victim in rape cases,
167,CrPC,187,BNSS,Procedure when investigation cannot be completed in 24 hours - remand,Staggered police custody up to 60/90 days introduced
173,CrPC,193,BNSS,Report of police officer on completion of investigation - chargesheet,90-day time limit for filing chargesheet
190,CrPC,210,BNSS,Cognisance of offences by Magistrate,
200,CrPC,223,BNSS,Examination of complainant,
207,CrPC,230,BNSS,Supply of copies of police report/documents to accused,
227,CrPC,250,BNSS,Discharge,
228,CrPC,251,BNSS,Framing of charge,
309,CrPC,346,BNSS,Power to postpone or adjourn proceedings,Maximum 2 adjournments per party
311,CrPC,348,BNSS,Power to summon material witness or examine person present,
313,CrPC,351,BNSS,Power to examine the accused,
436A,CrPC,479,BNSS,Maximum period for undertrial detention - bail entitlement,First-time offenders eligible after 1/3rd max sentence served
438,CrPC,482,BNSS,Anticipatory bail,
482,CrPC,528,BNSS,Inherent powers of High Court,
Schedule_I,CrPC,Schedule_I,BNSS,Classification of offences,
