old_section,old_act,new_section,new_act,provision_title,notes
3,Evidence Act,2,BSA,Interpretation clause / definitions,
5,Evidence Act,3,BSA,Evidence may be given of facts in issue and relevant facts,
6,Evidence Act,4,BSA,Relevancy of facts forming part of same transaction,
27,Evidence Act,23,BSA,Discovery of fact from information received in police custody,Only discovery-leading portion of confession provable
24,Evidence Act,22,BSA,Confession caused by inducement/threat/promise irrelevant,
25,Evidence Act,22(2),BSA,Confession to police officer not provable,
26,Evidence Act,22(3),BSA,Confession by accused in police custody,
32,Evidence Act,26,BSA,Statements/dying declaration by person who cannot be called as witness,
65,Evidence Act,58,BSA,Proof of contents of documents,
65A,Evidence Act,61,BSA,Special provisions for electronic evidence,
65B,Evidence Act,63,BSA,Admissibility of electronic records,Certificate now requires two signatures - device custodian + expert
101,Evidence Act,104,BSA,Burden of proof,
114,Evidence Act,119,BSA,Court may presume existence of certain facts,
145,Evidence Act,148,BSA,Cross-examination as to previous statements in writing,
