old_section,old_act,new_section,new_act,offence_title,notes
302,IPC,103,BNS,Murder,Punishment for murder
307,IPC,109,BNS,Attempt to murder,
304A,IPC,106,BNS,Causing death by negligence,Includes hit-and-run enhanced clause
304B,IPC,80,BNS,Dowry death,
306,IPC,108,BNS,Abetment of suicide,
309,IPC,226,BNS,Attempt to commit suicide,
376,IPC,64,BNS,Rape,
354,IPC,74,BNS,Assault on woman with intent to outrage modesty,
354A,IPC,75,BNS,Sexual harassment,
354B,IPC,76,BNS,Assault with intent to disrobe,
354C,IPC,77,BNS,Voyeurism,
354D,IPC,78,BNS,Stalking,
509,IPC,79,BNS,Word/gesture/act insulting modesty of woman,
363,IPC,139,BNS,Kidnapping,
366,IPC,141,BNS,Kidnapping/abduction to compel marriage,
375,IPC,63,BNS,Definition of rape,
498A,IPC,85,BNS,Cruelty by husband or relatives,
494,IPC,82,BNS,Bigamy - marrying again during lifetime of spouse,
323,IPC,115,BNS,Voluntarily causing hurt,
324,IPC,118(1),BNS,Voluntarily causing hurt by dangerous weapons,
325,IPC,118(2),BNS,Voluntarily causing grievous hurt,
326,IPC,118(3),BNS,Grievous hurt by dangerous weapons/means,
336,IPC,125,BNS,Act endangering life or personal safety of others,
337,IPC,125(A),BNS,Causing hurt by act endangering life/safety,
338,IPC,125(B),BNS,Causing grievous hurt by act endangering life/safety,
341,IPC,126,BNS,Wrongful restraint,
342,IPC,127,BNS,Wrongful confinement,
351,IPC,130,BNS,Assault,
353,IPC,121,BNS,Assault/criminal force to deter public servant,
379,IPC,303,BNS,Theft,
380,IPC,305,BNS,Theft in dwelling house,
382,IPC,304,BNS,Theft after preparation for causing death/hurt/restraint,
392,IPC,309,BNS,Robbery,
395,IPC,310(2),BNS,Dacoity,
403,IPC,314,BNS,Dishonest misappropriation of property,
406,IPC,316(2),BNS,Criminal breach of trust,
411,IPC,317(2),BNS,Dishonestly receiving stolen property,
420,IPC,318(4),BNS,Cheating and dishonestly inducing delivery of property,Cultural term '420' does not apply legally post July 2024
441,IPC,329,BNS,Criminal trespass,
447,IPC,329(3),BNS,Punishment for criminal trespass,
448,IPC,329(4),BNS,House-trespass,
442,IPC,330,BNS,House-breaking,
445,IPC,330,BNS,House-breaking by night,
120A,IPC,61(1),BNS,Criminal conspiracy - definition,
120B,IPC,61(2),BNS,Punishment for criminal conspiracy,
124A,IPC,152,BNS,Sedition (repealed) - replaced by acts endangering sovereignty/unity/integrity,Sedition terminology removed
141,IPC,189,BNS,Unlawful assembly,
143,IPC,189(3),BNS,Punishment for unlawful assembly,
146,IPC,191,BNS,Rioting,
147,IPC,191(2),BNS,Punishment for rioting,
148,IPC,191(3),BNS,Rioting armed with deadly weapon,
149,IPC,190,BNS,Common object of unlawful assembly,
34,IPC,3(5),BNS,Acts done by several persons in furtherance of common intention,
149_RW,IPC,190_RW,BNS,Every member of unlawful assembly guilty of common object offence,
286,IPC,287,BNS,Negligent conduct with respect to explosive substance,
294,IPC,296,BNS,Obscene acts and songs,
506,IPC,351,BNS,Criminal intimidation - punishment,
499,IPC,356,BNS,Defamation - definition,
500,IPC,356(2),BNS,Punishment for defamation,
415,IPC,318(1),BNS,Cheating - definition,
390,IPC,308,BNS,Robbery - definition,
465,IPC,336,BNS,Forgery,
468,IPC,338,BNS,Forgery for purpose of cheating,
471,IPC,340,BNS,Using forged document as genuine,
